from,to,distance_m,duration_s
FI1D7,FI1DB,658985.0,27828.0
FI1D7,FI1DC,797127.0,33292.0
FI1D7,FI200,1228224.0,65180.0
FI1D7,NO01+,1586811.0,69481.0
FI1D7,NO020,1480507.0,68107.0
FI1D7,NO060,1167243.0,52473.0
FI1D7,NO071,904442.0,39460.0
FI1D7,NO072,514451.0,24379.0
FI1D7,NO085,1665080.0,75095.0
FI1D7,NO092,1915681.0,83615.0
FI1D7,NO094,1726446.0,76987.0
FI1D7,NO0A1,1989464.0,92537.0
FI1D7,NO0A2,1815383.0,82646.0
FI1D7,NO0A3,1533312.0,70270.0
FI1D7,SE11+,1332522.0,55229.0
FI1D7,SE21+,1615568.0,65758.0
FI1D7,SE22+,1801283.0,72111.0
FI1D7,SE232,1578938.0,66091.0
FI1D7,SE311,1471440.0,62923.0
FI1D7,SE312,1256188.0,55000.0
FI1D7,SE313,1096361.0,46945.0
FI1D7,SE321,904568.0,39271.0
FI1D7,SE322,1009206.0,44313.0
FI1D7,SE331,718988.0,31470.0
FI1D8,DK02,2091005.0,81935.0
FI1D8,DK03,2248393.0,87198.0
FI1D8,DK04,2305180.0,89973.0
FI1D8,DK050,1878848.0,88780.0
FI1D8,FI19+,401579.0,17319.0
FI1D8,FI196,606666.0,26549.0
FI1D8,FI198,373125.0,16332.0
FI1D8,FI19B,540188.0,23337.0
FI1D8,FI1B+,620547.0,24707.0
FI1D8,FI1C-,542026.0,22412.0
FI1D8,FI1C1,687011.0,28592.0
FI1D8,FI1D7,491560.0,21188.0
FI1D8,FI1D9,163477.0,8025.0
FI1D8,FI1DB,222380.0,9696.0
FI1D8,FI1DC,347828.0,14748.0
FI1D8,FI200,882087.0,50594.0
FI1D8,NO01+,1624871.0,70604.0
FI1D8,NO020,1518567.0,69230.0
FI1D8,NO060,1205303.0,53596.0
FI1D8,NO071,942502.0,40584.0
FI1D8,NO072,855123.0,37019.0
FI1D8,NO085,1703140.0,76218.0
FI1D8,NO092,1953741.0,84738.0
FI1D8,NO094,1764506.0,78110.0
FI1D8,NO0A1,2027524.0,93660.0
FI1D8,NO0A2,1853443.0,83769.0
FI1D8,NO0A3,1571372.0,71393.0
FI1D8,SE11+,1370582.0,56352.0
FI1D8,SE21+,1653628.0,66882.0
FI1D8,SE22+,1839343.0,73234.0
FI1D8,SE232,1616998.0,67215.0
FI1D8,SE311,1509500.0,64046.0
FI1D8,SE312,1294248.0,56123.0
FI1D8,SE313,1134421.0,48068.0
FI1D8,SE321,942628.0,40394.0
FI1D8,SE322,1047267.0,45436.0
FI1D8,SE331,757048.0,32593.0
FI1D9,DK02,1942498.0,77072.0
FI1D9,DK03,2099886.0,82336.0
FI1D9,DK04,2156672.0,85111.0
FI1D9,DK050,1730341.0,83918.0
FI1D9,FI19+,370654.0,17156.0
FI1D9,FI196,575741.0,26385.0
FI1D9,FI198,383361.0,17373.0
FI1D9,FI19B,527141.0,24121.0
FI1D9,FI1B+,647196.0,27605.0
FI1D9,FI1C-,568674.0,25310.0
FI1D9,FI1C1,690647.0,29876.0
FI1D9,FI1D7,418609.0,18987.0
FI1D9,FI1D8,163475.0,8046.0
FI1D9,FI1DB,288760.0,13040.0
FI1D9,FI1DC,443710.0,19321.0
FI1D9,FI200,885723.0,51879.0
FI1D9,NO01+,1476364.0,65742.0
FI1D9,NO020,1370060.0,64368.0
FI1D9,NO060,1056795.0,48734.0
FI1D9,NO071,793995.0,35721.0
FI1D9,NO072,750341.0,34531.0
FI1D9,NO085,1554632.0,71356.0
FI1D9,NO092,1805234.0,79876.0
FI1D9,NO094,1615999.0,73248.0
FI1D9,NO0A1,1879017.0,88798.0
FI1D9,NO0A2,1704935.0,78907.0
FI1D9,NO0A3,1422865.0,66531.0
FI1D9,SE11+,1222075.0,51490.0
FI1D9,SE21+,1505120.0,62019.0
FI1D9,SE22+,1690835.0,68372.0
FI1D9,SE232,1468490.0,62352.0
FI1D9,SE311,1360992.0,59184.0
FI1D9,SE312,1145741.0,51261.0
FI1D9,SE313,985913.0,43206.0
FI1D9,SE321,794120.0,35532.0
FI1D9,SE322,898759.0,40574.0
FI1D9,SE331,608541.0,27731.0
FI1DB,DK02,1825094.0,81982.0
FI1DB,DK03,1982482.0,87245.0
FI1DB,DK04,2039269.0,90020.0
FI1DB,DK050,1612937.0,88827.0
FI1DB,FI19+,270344.0,11070.0
FI1DB,FI196,431199.0,18055.0
FI1DB,FI198,200744.0,8812.0
FI1DB,FI19B,331736.0,14688.0
FI1DB,FI1B+,412095.0,16058.0
FI1DB,FI1C-,333573.0,13763.0
FI1DB,FI1C1,478558.0,19943.0
FI1DB,FI1D7,658451.0,27809.0
FI1DB,FI1D8,219234.0,9673.0
FI1DB,FI1D9,288781.0,12959.0
FI1DB,FI1DC,168878.0,7329.0
FI1DB,FI200,673635.0,41945.0
FI1DB,NO01+,1358960.0,70651.0
FI1DB,NO020,1291127.0,70564.0
FI1DB,NO060,1027024.0,56136.0
FI1DB,NO071,999025.0,42537.0
FI1DB,NO072,955371.0,41347.0
FI1DB,NO085,1437229.0,76265.0
FI1DB,NO092,1687830.0,84785.0
FI1DB,NO094,1498595.0,78157.0
FI1DB,NO0A1,1761613.0,93707.0
FI1DB,NO0A2,1587532.0,83816.0
FI1DB,NO0A3,1373552.0,73991.0
FI1DB,SE11+,1104671.0,56399.0
FI1DB,SE21+,1387717.0,66929.0
FI1DB,SE22+,1573432.0,73281.0
FI1DB,SE232,1351087.0,67262.0
FI1DB,SE311,1243589.0,64093.0
FI1DB,SE312,1028337.0,56170.0
FI1DB,SE313,868510.0,48115.0
FI1DB,SE321,676717.0,40441.0
FI1DB,SE322,843293.0,47965.0
FI1DB,SE331,813571.0,34547.0
FI1DC,DK02,1942955.0,87938.0
FI1DC,DK03,2100343.0,93201.0
FI1DC,DK04,2157129.0,95976.0
FI1DC,DK050,1730798.0,94784.0
FI1DC,FI19+,388204.0,17027.0
FI1DC,FI196,451238.0,19436.0
